,ep,time,reward,cum_score,best_score,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,states
544,544,5.0399999999999805,-246.59999999999997,-284.38455882352946,873.8999999999996,-2.1857313251504786,0.3239871881425802,56.76532975918114,-1.3141641701108404,-4.214541436403716,8.889598138145839,"[-2.138497    0.4852057  56.41438728  2.149073    2.36955795  0.
 -2.16021369  0.40671413 56.58910836  2.72478605  2.94543846  0.
 -2.18573133  0.32398719 56.76532976  3.30049773  3.52132739  0.        ]"
545,545,5.0399999999999805,-246.59999999999997,-284.3152293577983,873.8999999999996,-2.2982645560177994,4.582761311172816,56.79215980616542,-1.3296259059314066,-1.53825307682177,9.275726240927671,"[-2.24923832  4.63913239 56.42751516  2.33620145  2.45278638  0.
 -2.27212164  4.61261754 56.60858135  2.91204975  3.02966367  0.
 -2.29826456  4.58276131 56.79215981  3.48792884  3.60654882  0.        ]"
546,546,5.0399999999999805,-246.9,-284.24670329670334,873.8999999999996,-2.204283703458341,9.322914228944473,57.06716266296746,-1.323734553471539,3.6064499185516605,9.252789942086421,"[-2.15691032  9.17668309 56.70422005  2.52491788  2.37352729  0.
 -2.17858817  9.25070062 56.8841648   3.10296939  2.94991064  0.
 -2.2042837   9.32291423 57.06716266  3.68107921  3.52633879  0.        ]"
547,547,5.0399999999999805,-245.9666666666667,-284.1767215112737,873.8999999999996,-2.0063582904844774,18.256048529713983,56.14483735869751,-1.2812281711750688,4.609068192561276,9.003078546202302,"[-1.96108429 18.06784224 55.7920236   2.38023055  2.35954492  0.
 -1.98160089 18.16327136 55.96694925  2.95703635  2.93659887  0.
 -2.00635829 18.25604853 56.14483736  3.5337885   3.51350386  0.        ]"
548,548,5.0399999999999805,-246.5,-284.1079683698298,873.8999999999996,-2.3326325552092135,11.892559311808853,56.688684248695644,-1.3376320901288667,2.608002030091324,9.211525226964833,"[-2.28460478 11.78403259 56.32721331  2.37837138  2.38322967  0.
 -2.30663014 11.8397164  56.50653754  2.95400626  2.9606325   0.
 -2.33263256 11.89255931 56.68868425  3.52959238  3.5380507   0.        ]"
549,549,5.0399999999999805,-246.46666666666664,-284.03940497874936,873.8999999999996,-2.5269597648965973,-4.133112344730008,56.64275066056478,-1.3777456858483605,-2.3762851596645795,9.406198850512576,"[-2.47624782 -4.04218105 56.27292629  2.40260725  2.43117546  0.
 -2.49993485 -4.08621893 56.45656107  2.97998826  3.00812182  0.
 -2.52695976 -4.13311234 56.64275066  3.55733553  3.58501922  0.        ]"
550,550,5.0399999999999805,-247.26666666666665,-283.9725454545455,873.8999999999996,-2.187708584860856,2.738156297152657,57.44337530820614,-1.3244408158073604,0.08188908015315852,9.454150022357698,"[-2.14079869  2.73038135 57.07140835  2.35973338  2.33407633  0.
 -2.16214642  2.73573121 57.25619778  2.93597569  2.91013358  0.
 -2.18770858  2.7381563  57.44337531  3.5122055   3.48615885  0.        ]"
551,551,5.0399999999999805,-246.63333333333333,-283.9047791893528,873.8999999999996,-2.3089809323032715,8.296898323734535,56.83111417485302,-1.3398538562089788,0.3755793678336373,9.32543101267175,"[-2.26082754  8.2773222  56.46460637  2.36385779  2.37784456  0.
 -2.28294516  8.28860821 56.64657859  2.94049698  2.95384403  0.
 -2.30898093  8.29689832 56.83111417  3.51711867  3.52983544  0.        ]"
552,552,5.0399999999999805,-246.7,-283.83737922705325,873.8999999999996,-2.410320141725355,7.757820278230002,56.85069764879343,-1.3561645560899929,2.369413059237849,9.307962235908022,"[-2.36124302  7.65955207 56.48545211  2.43210552  2.39918966  0.
 -2.38387326  7.70995186 56.66661128  3.00877249  2.97659431  0.
 -2.41032014  7.75782028 56.85069765  3.58542742  3.55396981  0.        ]"
553,553,5.0399999999999805,-246.59999999999997,-283.7700421940929,873.8999999999996,-2.3452063435360335,-5.715726366493827,56.75018914770173,-1.3243948050180534,-5.625153054419462,8.915893041379267,"[-2.29522283 -5.49681269 56.3990321   2.25591254  2.51115911  0.
 -2.3189207  -5.6043764  56.57361147  2.83190059  3.08878472  0.
 -2.34520634 -5.71572637 56.75018915  3.40790979  3.66638743  0.        ]"
554,554,5.0399999999999805,-246.8,-283.70330926594477,873.8999999999996,-2.289232678366034,10.542847424735822,56.981343527916174,-1.3354325060794758,3.901683539716564,9.134013462889227,"[-2.24222044 10.38416971 56.62294037  2.4697251   2.32329412  0.
 -2.26351485 10.46452959 56.80071614  3.04548479  2.89937776  0.
 -2.28923268 10.54284742 56.98134353  3.62121158  3.47557045  0.        ]"
555,555,5.0399999999999805,-246.59999999999997,-283.6364564564566,873.8999999999996,-2.28478730578126,11.183346204510316,56.78489323060054,-1.334687973913807,3.27186078614342,9.233802657345167,"[-2.23714392 11.04900186 56.42262062  2.42096911  2.3667663   0.
 -2.25891069 11.11741792 56.6023069   2.99783564  2.94373637  0.
 -2.28478731 11.1833462  56.78489323  3.57468901  3.52071481  0.        ]"
556,556,5.0399999999999805,-246.59999999999997,-283.56984412470035,873.8999999999996,-2.2333450895319906,9.014679512140978,56.803771150612974,-1.3321844884032572,1.1971626184990944,9.252791826828757,"[-2.18705756  8.96086214 56.43960245  2.24225376  2.28726774  0.
 -2.20784878  8.98951936 56.62062239  2.81790413  2.8646507   0.
 -2.23334509  9.01467951 56.80377115  3.39362753  3.44206397  0.        ]"
557,557,5.0399999999999805,-248.5,-283.50688210652316,873.8999999999996,-5.993454050727912,5.207751166972422,20.12783231021296,10.5216053546637,2.314345472889462,-18.99251318627947,"[-6.41231889  5.11808208 20.86652274  2.53800649  6.0515241   0.
 -6.20347806  5.16156627 20.50239838  3.11538037  6.09733678  0.
 -5.99345405  5.20775117 20.12783231  3.69276187  6.14259265  0.        ]"
558,558,4.679999999999988,-309.3,-283.55310633213867,873.8999999999996,-8.327966370357261,12.91462580689121,0.0,-11.791254515828987,4.550559438443646,-23.803438728484775,"[-7.83104215 12.73697114  0.60522992  4.69457883  3.68867331  0.
 -8.08517589 12.82314215  0.14000497  5.27046231  4.42943289  0.
 -8.32796637 12.91462581  0.          5.84632654  4.88360623  0.        ]"
559,559,4.020000000000002,-309.1,-283.5988073941563,873.8999999999996,-6.9502546646946755,11.649997645262328,0.0,7.965433433817954,3.384762511839204,-25.376100173088997,"[-7.24210478 11.51437057  0.69331639  4.45740475  4.58859432  0.
 -7.1029343  11.58174007  0.19857554  5.0347542   4.61275629  0.
 -6.95025466 11.64999765  0.          5.61211789  4.63650555  0.        ]"
